Date,VIXM,^VIX,spy,GBPUSD=X,BRLUSD=X,DX-Y.NYB,USDJPY=X,^TNX,ZF=F,NQ=F,NKD=F,LQD,AAPL,AMZN,MU,MSFT,BMY,PLD,FXI,FEZ,^FTSE,^FCHI,^GSPC,gld,slv,ES=F,QM=F,BIO=F,INTC,TSM
2019-07-01,21.139999389648438,14.0600004196167,284.70709228515625,1.2694543600082397,0.25977399945259094,96.83999633789062,108.38200378417969,2.0339999198913574,117.96875,7790.0,21695.0,116.66846466064453,49.31401824951172,1922.18994140625,40.054012298583984,132.24978637695312,42.682838439941406,75.70515441894531,41.483055114746094,36.749237060546875,7497.5,5567.91015625,2964.330078125,130.6199951171875,14.180000305175781,2967.75,59.099998474121094,,45.14430236816406,39.28025817871094
2019-07-02,20.90999984741211,12.930000305175781,285.4486083984375,1.2644623517990112,0.260443776845932,96.7300033569336,108.36599731445312,1.9759999513626099,118.1953125,7838.25,21710.0,116.98771667480469,49.60272979736328,1934.31005859375,39.54471969604492,133.1270294189453,43.14497756958008,77.28707122802734,41.37791442871094,36.873844146728516,7559.2001953125,5576.81982421875,2973.010009765625,133.41000366210938,14.289999961853027,2979.5,56.25,,45.21007537841797,38.72968673706055
2019-07-03,20.799999237060547,12.569999694824219,287.7308044433594,1.25982666015625,0.2601524591445923,,107.80500030517578,,,,,117.30697631835938,50.01378631591797,1939.0,39.53473663330078,133.98480224609375,43.41539001464844,78.24381256103516,41.22498321533203,37.180572509765625,7609.2998046875,5618.81005859375,2995.820068359375,133.6300048828125,14.319999694824219,,,,45.58588790893555,38.28353500366211
2019-07-04,,,,1.2582731246948242,0.26143789291381836,,107.77899932861328,,,,,,,,,,,,,,7603.60009765625,5620.72998046875,,,,,,,,
2019-07-05,20.690000534057617,13.279999732971191,287.4033508300781,1.2583048343658447,0.2631025016307831,97.25,107.80799865722656,2.0480000972747803,117.6796875,7851.5,21665.0,116.27410888671875,49.96973419189453,1942.9100341796875,39.36497116088867,133.59490966796875,42.7906379699707,78.08277893066406,40.747066497802734,36.91218185424805,7553.10009765625,5593.72021484375,2990.409912109375,132.13999938964844,14.0600004196167,2990.5,57.5,,45.17250061035156,37.903831481933594
2019-07-08,21.1200008392334,13.960000038146973,285.8241271972656,1.2525520324707031,0.2618418037891388,97.37999725341797,108.4739990234375,2.0339999198913574,117.671875,7801.0,21595.0,116.11446380615234,48.93966293334961,1952.3199462890625,40.35359191894531,133.49746704101562,42.678741455078125,77.96910095214844,40.441200256347656,36.720481872558594,7549.2998046875,5589.18994140625,2975.949951171875,131.2899932861328,14.050000190734863,2978.5,57.650001525878906,,44.92822265625,37.32478332519531
2019-07-09,21.190000534057617,14.09000015258789,286.18048095703125,1.2516427040100098,0.26322025060653687,97.48999786376953,108.72100067138672,2.053999900817871,117.546875,7845.25,21515.0,115.87032318115234,49.238162994384766,1988.300048828125,41.29227828979492,133.01007080078125,42.93051528930664,78.26275634765625,40.202239990234375,36.643795013427734,7536.5,5572.10009765625,2979.6298828125,131.75,14.140000343322754,2982.0,57.82500076293945,,44.86245346069336,37.657020568847656
2019-07-10,21.020000457763672,13.029999732971191,287.54779052734375,1.2458575963974,0.2632271647453308,97.0999984741211,108.92400360107422,2.061000108718872,117.7421875,7928.75,21545.0,116.13322448730469,49.72506332397461,2017.4100341796875,42.840118408203125,134.3649139404297,42.85590744018555,78.64164733886719,40.31694030761719,36.710899353027344,7530.7001953125,5567.58984375,2993.070068359375,133.8300018310547,14.260000228881836,2997.5,60.42499923706055,,45.29463195800781,38.64424514770508
2019-07-11,20.860000610351562,12.930000305175781,288.221923828125,1.2508130073547363,0.2666453421115875,97.05000305175781,108.33399963378906,2.119999885559082,117.5078125,7918.75,21610.0,115.44778442382812,49.36294937133789,2001.0699462890625,43.419307708740234,134.90103149414062,41.52248764038086,76.74712371826172,40.1162223815918,36.68214416503906,7509.7998046875,5551.9501953125,2999.909912109375,132.6999969482422,14.170000076293945,3004.0,60.20000076293945,,45.66104507446289,38.82460403442383
2019-07-12,20.829999923706055,12.390000343322754,289.51226806640625,1.2523481845855713,0.26632577180862427,96.80999755859375,108.58799743652344,2.1059999465942383,117.59375,7960.0,21585.0,115.56047821044922,49.74219512939453,2011.0,44.44786834716797,135.38839721679688,41.28004837036133,75.80933380126953,40.2691535949707,36.69172668457031,7506.0,5572.85986328125,3013.77001953125,133.52999877929688,14.260000228881836,3015.5,60.20000076293945,,46.901222229003906,39.13786697387695
2019-07-15,20.780000686645508,12.680000305175781,289.6085510253906,1.2571974992752075,0.2677806317806244,96.93000030517578,107.83200073242188,2.0920000076293945,117.6328125,7986.75,21600.0,115.75762939453125,50.20951843261719,2020.989990234375,44.3380241394043,135.38839721679688,41.20545959472656,75.72409057617188,40.38385009765625,36.73006820678711,7531.7001953125,5578.2099609375,3014.300048828125,133.52999877929688,14.420000076293945,3017.25,59.57500076293945,,47.08913040161133,39.69792175292969
2019-07-16,21.079999923706055,12.859999656677246,288.6745300292969,1.251799464225769,0.26640382409095764,97.4000015258789,107.88899993896484,2.121999979019165,117.46875,7942.75,21485.0,115.51350402832031,50.035797119140625,2009.9000244140625,42.99989318847656,133.61439514160156,41.447898864746094,77.16393280029297,40.31694030761719,36.6629753112793,7577.2001953125,5614.3798828125,3004.0400390625,132.39999389648438,14.539999961853027,3007.0,57.625,,46.19657897949219,39.65046691894531
2019-07-17,21.229999542236328,13.970000267028809,286.7100830078125,1.2412029504776,0.2654491364955902,97.22000122070312,108.20099639892578,2.061000108718872,117.7109375,7885.5,21330.0,116.12381744384766,49.75442123413086,1992.030029296875,43.3094596862793,132.8248748779297,41.14950942993164,77.3060073852539,40.2691535949707,36.52878189086914,7535.5,5571.7099609375,2984.419921875,134.5800018310547,14.9399995803833,2985.0,56.775001525878906,,46.40327835083008,39.51756286621094
2019-07-18,21.290000915527344,13.529999732971191,287.7596740722656,1.2434717416763306,0.2658301889896393,96.79000091552734,107.93699645996094,2.0380001068115234,117.9140625,7933.5,21135.0,116.3961410522461,50.31962966918945,1977.9000244140625,44.607643127441406,132.9710693359375,41.074913024902344,78.08277893066406,40.374298095703125,36.59587097167969,7493.10009765625,5550.5498046875,2995.110107421875,136.47999572753906,15.289999961853027,2997.5,55.29999923706055,,46.920013427734375,40.99840545654297
2019-07-19,21.34000015258789,14.449999809265137,286.1612243652344,1.2541857957839966,0.2690052092075348,97.1500015258789,107.4010009765625,2.0480000972747803,117.8125,7842.75,21270.0,116.21773529052734,49.5684700012207,1964.52001953125,45.456459045410156,133.16600036621094,40.403541564941406,76.48188781738281,40.59413528442383,36.308326721191406,7508.7001953125,5552.33984375,2976.610107421875,134.47000122070312,15.170000076293945,2977.0,55.630001068115234,,47.23006057739258,41.605934143066406
2019-07-22,21.420000076293945,13.529999732971191,286.8641357421875,1.2512825727462769,0.2669585347175598,97.26000213623047,107.80999755859375,2.0429999828338623,117.8515625,7924.75,21390.0,116.5745620727539,50.701316833496094,1985.6300048828125,47.12412643432617,134.93026733398438,39.88135528564453,76.89869689941406,40.22136306762695,36.43292236328125,7514.89990234375,5567.02001953125,2985.030029296875,134.4499969482422,15.350000381469727,2989.0,56.224998474121094,,48.244754791259766,42.336856842041016
2019-07-23,20.899999618530273,12.609999656677246,288.915283203125,1.2474894523620605,0.26739397644996643,97.70999908447266,107.90399932861328,2.0739998817443848,117.71875,7983.75,21700.0,116.64028930664062,51.097686767578125,1994.489990234375,46.884464263916016,135.76852416992188,40.14244842529297,78.23432922363281,40.45075988769531,36.758819580078125,7556.89990234375,5618.16015625,3005.469970703125,133.69000244140625,15.34000015258789,3008.0,56.775001525878906,,48.62056350708008,42.165985107421875
2019-07-24,20.6200008392334,12.069999694824219,290.27294921875,1.243904948234558,0.2650832533836365,97.7300033569336,108.23200225830078,2.049999952316284,117.7578125,8038.0,21745.0,116.96892547607422,51.056087493896484,2000.81005859375,47.923011779785156,137.1623992919922,40.3102912902832,77.92173767089844,40.58457565307617,36.76840591430664,7501.5,5605.8701171875,3019.56005859375,134.3699951171875,15.520000457763672,3021.5,55.875,,49.71980285644531,42.27989959716797
